address,is_contract,is_eligible,wallet_balance,sablier_claimable,gauge_claimable,auction_claimable,echo_balance,total_calculated_cove_balance
0xafb979d9afad1ad27c5eff4e27226e3ab9e5dcc9,true,false,434002890.74135844748928,0,0,0,0,434002890.74135844748928
0x7bd578354b0b2f02e656f1bdc0e41a80f860534b,true,false,85413553.825391811036532012,136310956.36732623016,0,0,0,221724510.192718041196532012
0x519a6aef94158a90b25846aba1fa06afef8d2323,true,true,191785000.03,0,0,0,0,191785000.03
0x790aa9ad0bbce251a6d72e71bc27dee42f626087,true,false,150000000,0,0,0,0,150000000
0xdc817ae90be7cd5f9912dc750283bd7e2b65c7e9,false,true,0,66358651.9406392693902,0,0,10710000,77068651.9406392693902
0x8e0edabecf039e31fb8699ccd03a94c22a2efc29,false,true,8384652.643566120378,30979762.813234342441527143,0,0,10710000,50074415.456800462819527143
0x71bdc5f3aba49538c76d58bc2ab4e3a1118dae4c,true,false,49156385.252123825258866979,0,0,0,0,49156385.252123825258866979
0xc0f955ed74955709adcf4c26e31f1ab4ce639d58,false,true,7500000,27881786.529680365275,0,0,0,35381786.529680365275
Echo P,,true,0,0,0,0,17850000,17850000
0x9ba385b50d4786261119c553ac5fa4ad1815967a,false,true,9768177.573133503798490613,6934844.243133503798490613,0,0,0,16703021.816267007596981226
0x5e96b3f0fd8234a0ca02c92a1afd7a6f495684c6,false,true,3333333.33,12391905.126780765591527143,0,0,0,15725238.456780765591527143
0xb18a5d38541d1547267abfa86792519239693e77,false,true,0,13271730.38812785387804,0,0,0,13271730.38812785387804
Echo B,,true,0,0,0,0,8925000,8925000
0x88a3354e5e7a34a7901e1b64557992e85aa1b5eb,true,true,8904773.116296875845785645,0,0,0,0,8904773.116296875845785645
0xd20c9667bf0047f313228f9fe11f8b9f8dc29bba,true,true,8900000,0,0,0,0,8900000
Echo M,,true,0,0,0,0,7318500,7318500
0x1a9a360ea505576d07096453d977655770a26c09,false,true,2551607.91666666666627,3317932.59703196346951,0,0,0,5869540.51369863013578
0xd24b84c386cc65c49dd596e59d950c54298cd429,false,true,5230084.835655491000364371,0,0,0,0,5230084.835655491000364371
0xc9b354464f0827d705940efa056e29b761a28395,false,true,0,4976898.895547945204265,0,0,0,4976898.895547945204265
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,false,true,4779781.341918670741712695,0,0,0,0,4779781.341918670741712695
0x5bbcf1b7668adaed711466005c7319a1578d9670,false,true,0,3317932.59703196346951,0,0,0,3317932.59703196346951
0x4b7576abc3870ff017752649dad1221fc424cecf,true,true,3011873.67622388970945993,0,0,0,0,3011873.67622388970945993
0x163f0aa0b7da778953c1de995d849a826fe0c0a4,false,true,2981514.480707683154428961,0,0,0,0,2981514.480707683154428961
0x1a13c53d516f6e8321e9903f224861e74bbd7aa0,false,true,0,0,0,0,2500000,2500000
0x33d35244153ba6b1c95f4be3236855831f468784,false,true,416666.67,1548988.138059417045972856,0,0,0,1965654.808059417045972856
0x48302ba7bcdf2bd59d20f8893c0f11b431a3be24,true,false,1848205.401748567414604561,0,0,0,0,1848205.401748567414604561
0xf4880975728ee25a96c701c225c9ef58eebe5a5b,false,true,1645361.315001301364121828,0,0,52405.450053268019823651,0,1697766.765054569383945479
0x0d1a1163a1a5fe7ba5a0dce47bedf3a9650995f1,false,true,0,1658966.298515981734755,0,0,0,1658966.298515981734755
0xb44f710054aabe793a14125646badfd43791a5c4,false,true,714285.71,714285.71,0,0,0,1428571.42
0x90b28aa7df2efaaad4582afaf4d2a1c61519a245,true,false,1323364.440315199511417576,0,0,0,0,1323364.440315199511417576
0x260b37be409e29c89dfb7399ef48466cb1edfcfb,false,true,218718.003115416956329078,0,1096056.435532936752936742,0,0,1314774.43864835370926582
0x305d1239e09103efed3f8a0e5e3770345ced81d6,false,true,1253378.229741848043412358,0,0,0,0,1253378.229741848043412358
0x0a9779bfa7792970716bddf061310c0762226376,false,true,0,1239190.512430238456,0,0,0,1239190.512430238456
0x7e47df2a371fa3488963e30bc914942edcc48fe5,true,true,0,1239190.512430238456,0,0,0,1239190.512430238456
0x9bf511a96cdf1155746c70798a03be302704305e,false,true,0,1239190.512430238456,0,0,0,1239190.512430238456
0xb6c2e793074ddaea0540fcf0e6a70a7502f22978,false,true,0,1239190.512430238456,0,0,0,1239190.512430238456
0x9e7fdf330a758d3a9925d486b710fb8258a7b7df,false,true,250000,929392.8843226788425,0,0,0,1179392.8843226788425
0xe588ccbfdb206bde7b1288c7a46b8a33c9f8a363,false,true,0,0,1138064.424429997412510709,0,0,1138064.424429997412510709
0x8083a1e622da1fcc8cf8b1ac667bc480e7d0c81c,false,true,1044634.770057404731895158,0,3388.808417349278045215,0,0,1048023.578474754009940373
0x66afc16e2facf4eea0712edebe0b96c5f51606fa,true,false,971505.472226987638957431,0,0,0,0,971505.472226987638957431
0x4d840966887673132ec61ab4ffb5e3c26cb1f4bd,true,false,860050.5581124467078614,0,0,0,0,860050.5581124467078614
0xac946b1649a7e8dd94b045d0958c15bec8e98361,false,true,0,0,846340.394182899219112861,0,0,846340.394182899219112861
0x7d7e8562bf34cfe0e665535f8bbd6538ec94cfc8,false,true,0,829483.1492579908673775,0,0,0,829483.1492579908673775
0xbb49444efe86b167d1cc35c79a9eb39110dbd5e3,false,true,0,829483.1492579908673775,0,0,0,829483.1492579908673775
0xd14f57283d1487f7bec9a3b4ccfed80930bbc91c,false,true,739041.30690349968,0,0,0,0,739041.30690349968
0xa3979e4748c1b99c6d1298c3bf5da9cbb782ef4f,false,true,737210.325078560090968535,0,0,0,0,737210.325078560090968535
0x114fc13bdf5fefd6d83ea17d7b4ce7447712f08c,false,true,0,714285.71,0,0,0,714285.71
0x88cd106fd4002921d71358455ff95c1af8b951b7,false,true,0,714285.71,0,0,0,714285.71
0xb865aaf1f9f60630934739595f183c4900f65ed9,false,true,0,714285.71,0,0,0,714285.71
0xf3b1b6e83be4d55695f1d30ac3d307d9d5ca98ff,false,true,0,714285.71,0,0,0,714285.71
0xf53d1fb2eed22cf1e8f7e90da7f1cae88344065f,false,true,0,714285.71,0,0,0,714285.71
0xf872703f1c8f93fa186869bac83bac5a0c87c3c8,false,true,0,714285.71,0,0,0,714285.71
0xc9f69ff262e45c289d8488c59f46900915d9f352,false,true,293804.454037475592538726,0,396087.84106922723663353,0,0,689892.295106702829172256
0xc42317a82e6a0e5ef0a889bca7dbe59ad94170b0,true,true,0,663586.519406392693902,0,0,0,663586.519406392693902
0xf7f0108a699752a8967a699e66076f5be100d4c8,false,true,0,663586.519406392693902,0,0,0,663586.519406392693902
0x77796c658d75a232ecdbf92c5d71ec082f735780,false,true,658990.68929259186604591,0,0,0,0,658990.68929259186604591
0x0497ededbb17e27d200f9fc7fd2e4f727970246c,true,true,646686.645159774535300391,0,0,0,0,646686.645159774535300391
0xd8c2e378c699b7e3e5f97cf4f0f46741296d8cbf,false,true,634384.426973275696583601,0,0.098759053360858149,0,0,634384.52573232905744175
Echo A,,true,0,0,0,0,625000,625000
0x11c9ac11ce9913e26faa7a9ee5b07c92b0c8c372,false,true,270932.329393836559088202,0,350890.291955917850091632,0,0,621822.621349754409179834
0xa387f2c32f92b2fb8807f5617e7cbe0e20ac4ff5,false,true,617404.440016879027644507,0,0,0,0,617404.440016879027644507
0x2f3715f710076cfdb5aa872bc8a4b965a07c3a08,true,false,575736.774234976304509319,0,0,0,0,575736.774234976304509319
0x3b2e01ad27b70fbc2a21af2972e00e85d2b1cfff,false,true,557996.344015481009140215,0,0,0,0,557996.344015481009140215
0x23b72fad7f7695b78f7ab0fc1df724dde8e02938,false,true,523008.483565549100036437,0,0,0,0,523008.483565549100036437
